1,55,1
1,43,1
1,17,1
1,6,1
1,28,1
1,1,1
1,13,1
1,8,1
1,2,1
1,54,1
2,55,1
2,43,1
2,17,1
2,28,1
2,8,1
2,1,1
2,6,1
2,9,1
2,10,1
2,2,1
3,1,1
3,6,1
3,43,1
3,2,1
3,11,1
3,40,1
3,7,1
3,3,1
3,4,1
3,5,1
4,55,1
4,43,1
4,28,1
4,11,1
4,17,1
4,2,1
4,1,1
4,84,1
4,7,1
4,4,1
5,3,1
5,2,1
5,5,1
5,43,1
5,28,1
5,17,1
5,1,1
5,84,1
5,7,1
5,11,1
6,43,1
6,2,1
6,40,1
6,1,1
6,54,1
6,6,1
6,55,1
6,11,1
6,7,1
6,84,1
7,43,1
7,6,1
7,2,1
7,1,1
7,28,1
7,17,1
7,4,1
7,3,1
7,5,1
7,7,1
8,43,1
8,55,1
8,6,1
8,17,1
8,28,1
8,1,1
8,2,1
8,3,1
8,4,1
8,84,1
9,55,1
9,43,1
9,17,1
9,28,1
9,8,1
9,6,1
9,1,1
9,2,1
9,9,1
9,54,1
10,6,1
10,13,1
10,55,1
10,3,1
10,28,1
10,43,1
10,26,1
10,17,1
10,2,1
10,5,1
11,6,1
11,43,1
11,2,1
11,1,1
11,13,1
11,5,1
11,3,1
11,7,1
11,4,1
11,10,1
12,6,1
12,28,1
12,17,1
12,3,1
12,2,1
12,55,1
12,84,1
12,43,1
12,11,1
12,51,1
13,6,1
13,2,1
13,84,1
13,1,1
13,3,1
13,5,1
13,11,1
13,17,1
13,4,1
13,7,1
14,43,1
14,8,1
14,55,1
14,54,1
14,9,1
14,1,1
14,10,1
14,12,1
14,25,1
14,17,1
15,43,1
15,55,1
15,6,1
15,2,1
15,13,1
15,1,1
15,54,1
15,4,1
15,40,1
15,7,1
16,2,1
16,1,1
16,11,1
16,4,1
16,8,1
16,7,1
16,10,1
16,40,1
16,17,1
16,43,1
17,57,1
17,15,1
17,19,1
17,82,1
17,3,1
17,2,1
17,40,1
17,1,1
17,16,1
17,8,1
18,1,1
18,2,1
18,4,1
18,8,1
18,7,1
18,10,1
18,3,1
18,5,1
18,68,1
18,16,1
19,40,1
19,54,1
19,2,1
19,1,1
19,11,1
19,4,1
19,8,1
19,10,1
19,9,1
19,6,1
20,34,1
20,49,1
20,87,1
20,123,1
20,16,1
20,120,1
20,104,1
20,172,1
20,56,1
20,11,1
21,18,1
21,19,1
21,121,1
21,82,1
21,40,1
21,2,1
21,1,1
21,11,1
21,8,1
21,4,1
22,16,1
22,54,1
22,11,1
22,3,1
22,40,1
22,19,1
22,38,1
22,2,1
22,5,1
22,82,1
23,18,1
23,19,1
23,11,1
23,9,1
23,1,1
23,8,1
23,2,1
23,10,1
23,43,1
23,54,1
24,11,1
24,3,1
24,89,1
24,5,1
24,2,1
24,1,1
24,7,1
24,4,1
24,82,1
24,67,1
25,11,1
25,2,1
25,1,1
25,4,1
25,7,1
25,84,1
25,10,1
25,8,1
25,43,1
25,68,1
26,11,1
26,1,1
26,54,1
26,5,1
26,2,1
26,3,1
26,7,1
26,16,1
26,4,1
26,89,1
27,38,1
27,16,1
27,11,1
27,3,1
27,5,1
27,15,1
27,2,1
27,40,1
27,1,1
27,7,1
28,11,1
28,3,1
28,89,1
28,5,1
28,1,1
28,2,1
28,7,1
28,4,1
28,82,1
28,67,1
